Species,HUC8,Origin,PointData
Catostomus ardens,16020301,Native,True
Catostomus ardens,14070003,Introduced,True
Catostomus ardens,16010101,Native,True
Catostomus ardens,16010203,Native,True
Catostomus ardens,16020101,Native,True
Catostomus ardens,16020102,Native,True
Catostomus ardens,16020201,Native,True
Catostomus ardens,16020203,Native,True
Catostomus ardens,16020204,Native,True
Catostomus ardens,16020202,Native,False
Catostomus ardens,16030001,Native,True
Catostomus ardens,16030002,Native,True
Catostomus ardens,16030003,Native,True
Catostomus ardens,16030004,Native,False
Catostomus ardens,16030005,Native,True
Catostomus ardens,16030007,Native,True
Catostomus ardens,16010202,Native,True
Catostomus ardens,16010204,Native,True
Catostomus ardens,16020309,Native,False
Catostomus ardens,16010201,Native,True
Catostomus ardens,16010102,Native,True
Catostomus ardens,17040104,Native,True
Catostomus ardens,17040201,Native,True
Catostomus ardens,17040202,Native,False
Catostomus ardens,17040203,Native,True
Catostomus ardens,17040205,Native,False
Catostomus ardens,17040206,Native,True
Catostomus ardens,17040207,Native,True
Catostomus ardens,17040208,Native,True
Catostomus ardens,17040209,Native,True
Catostomus ardens,17040212,Native,True
Catostomus ardens,17040214,Native,False
Catostomus ardens,17040211,Native,True
Catostomus ardens,17040105,Native,True
Catostomus ardens,17040204,Native,False
Catostomus ardens,17040210,Native,True
Catostomus ardens,17040101,Native,True
Catostomus ardens,17040102,Native,False
Catostomus ardens,17040103,Native,True
