SPECIES,HUC8,ORIGIN,POINTDATA
Cottus beldingii,16020307,Native,FALSE
Cottus beldingii,16040101,Native,TRUE
Cottus beldingii,16040102,Native,TRUE
Cottus beldingii,16040103,Native,TRUE
Cottus beldingii,16040106,Native,FALSE
Cottus beldingii,16040201,Native,TRUE
Cottus beldingii,16050101,Native,TRUE
Cottus beldingii,18020123,Native,FALSE
Cottus beldingii,18020125,Native,FALSE
Cottus beldingii,14030005,Native,FALSE
Cottus beldingii,14060003,Native,TRUE
Cottus beldingii,14060004,Native,FALSE
Cottus beldingii,14060005,Native,FALSE
Cottus beldingii,14060007,Native,TRUE
Cottus beldingii,14060008,Native,FALSE
Cottus beldingii,14060010,Native,FALSE
Cottus beldingii,14070001,Native,FALSE
Cottus beldingii,16010101,Native,FALSE
Cottus beldingii,16010203,Native,TRUE
Cottus beldingii,16020101,Native,TRUE
Cottus beldingii,16020102,Native,TRUE
Cottus beldingii,16020201,Native,FALSE
Cottus beldingii,16020203,Native,TRUE
Cottus beldingii,16020204,Native,FALSE
Cottus beldingii,14060006,Native,FALSE
Cottus beldingii,16020202,Native,TRUE
Cottus beldingii,14010005,Native,FALSE
Cottus beldingii,17040213,Native,TRUE
Cottus beldingii,17050117,Native,FALSE
Cottus beldingii,16050102,Native,TRUE
Cottus beldingii,16050201,Native,TRUE
Cottus beldingii,16050301,Native,TRUE
Cottus beldingii,16050302,Native,TRUE
Cottus beldingii,18080003,Native,TRUE
Cottus beldingii,14010001,Native,FALSE
Cottus beldingii,14010003,Native,TRUE
Cottus beldingii,14010004,Native,TRUE
Cottus beldingii,14030003,Native,TRUE
Cottus beldingii,16020310,Native,FALSE
Cottus beldingii,16030003,Native,TRUE
Cottus beldingii,16030004,Native,FALSE
Cottus beldingii,14030004,Native,FALSE
Cottus beldingii,14050007,Native,FALSE
Cottus beldingii,14040106,Native,FALSE
Cottus beldingii,16010202,Native,TRUE
Cottus beldingii,16010204,Native,TRUE
Cottus beldingii,16020309,Native,FALSE
Cottus beldingii,14040107,Native,FALSE
Cottus beldingii,14030001,Native,FALSE
Cottus beldingii,14040101,Native,TRUE
Cottus beldingii,14040103,Native,FALSE
Cottus beldingii,14040108,Native,FALSE
Cottus beldingii,17100303,Native,TRUE
Cottus beldingii,17120002,Native,FALSE
Cottus beldingii,16010201,Native,FALSE
Cottus beldingii,16010102,Native,TRUE
Cottus beldingii,17010304,Native,TRUE
Cottus beldingii,17040104,Native,FALSE
Cottus beldingii,17040201,Native,FALSE
Cottus beldingii,17040202,Native,TRUE
Cottus beldingii,17040203,Native,TRUE
Cottus beldingii,17040205,Native,FALSE
Cottus beldingii,17040206,Native,FALSE
Cottus beldingii,17040207,Native,FALSE
Cottus beldingii,17040208,Native,TRUE
Cottus beldingii,17040209,Native,FALSE
Cottus beldingii,17040212,Native,TRUE
Cottus beldingii,17040218,Native,TRUE
Cottus beldingii,17040219,Native,FALSE
Cottus beldingii,17040220,Native,FALSE
Cottus beldingii,17040221,Native,FALSE
Cottus beldingii,17050101,Native,FALSE
Cottus beldingii,17050111,Native,FALSE
Cottus beldingii,17050112,Native,FALSE
Cottus beldingii,17050113,Native,FALSE
Cottus beldingii,17050114,Native,FALSE
Cottus beldingii,17050120,Native,FALSE
Cottus beldingii,17050121,Native,FALSE
Cottus beldingii,17050122,Native,TRUE
Cottus beldingii,17050123,Native,FALSE
Cottus beldingii,17050124,Native,FALSE
Cottus beldingii,17060201,Native,TRUE
Cottus beldingii,17060202,Native,TRUE
Cottus beldingii,17060203,Native,FALSE
Cottus beldingii,17060205,Native,FALSE
Cottus beldingii,17060206,Native,FALSE
Cottus beldingii,17060207,Native,FALSE
Cottus beldingii,17060208,Native,FALSE
Cottus beldingii,17060209,Native,TRUE
Cottus beldingii,17060210,Native,TRUE
Cottus beldingii,17060301,Native,FALSE
Cottus beldingii,17060302,Native,TRUE
Cottus beldingii,17060303,Native,TRUE
Cottus beldingii,17060304,Native,FALSE
Cottus beldingii,17060305,Native,FALSE
Cottus beldingii,17060306,Native,TRUE
Cottus beldingii,17060307,Native,FALSE
Cottus beldingii,17060308,Native,FALSE
Cottus beldingii,17040211,Native,FALSE
Cottus beldingii,17050103,Native,FALSE
Cottus beldingii,17050107,Native,TRUE
Cottus beldingii,17050108,Native,FALSE
Cottus beldingii,17050115,Native,FALSE
Cottus beldingii,17060101,Native,FALSE
Cottus beldingii,17040105,Native,TRUE
Cottus beldingii,17040204,Native,TRUE
Cottus beldingii,17050102,Native,FALSE
Cottus beldingii,17050104,Native,TRUE
Cottus beldingii,17050105,Native,FALSE
Cottus beldingii,17050106,Native,FALSE
Cottus beldingii,17050109,Native,FALSE
Cottus beldingii,17050110,Native,TRUE
Cottus beldingii,17050116,Native,TRUE
Cottus beldingii,17050118,Native,FALSE
Cottus beldingii,17050119,Native,FALSE
Cottus beldingii,17050202,Native,FALSE
Cottus beldingii,17050203,Native,FALSE
Cottus beldingii,17060102,Native,FALSE
Cottus beldingii,17060104,Native,TRUE
Cottus beldingii,17060105,Native,TRUE
Cottus beldingii,17060106,Native,TRUE
Cottus beldingii,17070103,Native,TRUE
Cottus beldingii,17070104,Native,TRUE
Cottus beldingii,17070201,Native,TRUE
Cottus beldingii,17070202,Native,TRUE
Cottus beldingii,17070203,Native,TRUE
Cottus beldingii,17070204,Native,FALSE
Cottus beldingii,17070301,Native,TRUE
Cottus beldingii,17070303,Native,TRUE
Cottus beldingii,17070304,Native,TRUE
Cottus beldingii,17070305,Native,TRUE
Cottus beldingii,17070306,Native,TRUE
Cottus beldingii,17070307,Native,FALSE
Cottus beldingii,17090001,Native,TRUE
Cottus beldingii,17090002,Native,TRUE
Cottus beldingii,17090003,Native,TRUE
Cottus beldingii,17090004,Native,TRUE
Cottus beldingii,17090005,Native,TRUE
Cottus beldingii,17090006,Native,TRUE
Cottus beldingii,17090007,Native,TRUE
Cottus beldingii,17090009,Native,TRUE
Cottus beldingii,17090011,Native,TRUE
Cottus beldingii,17050201,Native,FALSE
Cottus beldingii,17060103,Native,TRUE
Cottus beldingii,17070101,Native,FALSE
Cottus beldingii,17070102,Native,TRUE
Cottus beldingii,17070105,Native,TRUE
Cottus beldingii,17080001,Native,TRUE
Cottus beldingii,17080003,Native,TRUE
Cottus beldingii,17040210,Native,FALSE
Cottus beldingii,17020010,Native,FALSE
Cottus beldingii,17020011,Native,TRUE
Cottus beldingii,17020012,Native,FALSE
Cottus beldingii,17020016,Native,FALSE
Cottus beldingii,17030001,Native,TRUE
Cottus beldingii,17030002,Native,TRUE
Cottus beldingii,17030003,Native,TRUE
Cottus beldingii,17040101,Native,TRUE
Cottus beldingii,17040102,Native,TRUE
Cottus beldingii,17040103,Native,TRUE
Cottus beldingii,17090012,Native,FALSE
Cottus beldingii,17060110,Native,FALSE
Cottus beldingii,17060107,Native,TRUE
